"id","title","authors","venue","year"
304586,"the wasa2 object-oriented workflow management system","gottfried vossen, mathias weske","international conference on management of data",1999
304587,"a user-centered interface for querying distributed multimedia databases","isabel f. cruz, kimberly m. james","international conference on management of data",1999
304589,"world wide database-integrating the web, corba and databases","athman bouguettaya, boualem benatallah, lily hendra, james beard, kevin smith, mourad quzzani","international conference on management of data",1999
304590,"xml-based information mediation with mix","chaitan baru, amarnath gupta, bertram lud&#228;scher, richard marciano, yannis papakonstantinou, pavel velikhov, vincent chu","international conference on management of data",1999
304582,"the ccube constraint object-oriented database system","alexander brodsky, victor e. segal, jia chen, paval a. exarkhopoulo","international conference on management of data",1999
304583,"the cornell jaguar project: adding mobility to predator","phillippe bonnet, kyle buza, zhiyuan chan, victor cheng, randolph chung, takako hickey, ryan kennedy, daniel mahashin, tobias mayr, ivan oprencak, praveen seshadri, hubert siu","international conference on management of data",1999
304584,"the active multisync controller of the cubetree storage organization","nick roussopoulos, yannis kotidis, yannis sismanis","international conference on management of data",1999
304585,"the jungle database search engine","michael b&#246;hlen, linas bukauskas, curtis dyreson","international conference on management of data",1999
306112,"adept: an agent-based approach to business process management","n. r. jennings, t. j. norman, p. faratin","acm sigmod record",1998
306115,"a componentized architecture for dynamic electronic markets","benny reich, israel ben-shaul","acm sigmod record",1998
306119,"design and implementation of rmp: a virtual electronic market place","susanne boll, wolfgang klas, bernard battaglin","acm sigmod record",1998
306124,"discovering internet marketing intelligence through online analytical web usage mining","alex g. b&#252;chner, maurice d. mulvenna","acm sigmod record",1998
306102,"component-based e-commerce: assessment of current practices and future directions","martin bichler, arie segev, j. leon zhao","acm sigmod record",1998
306103,"building database-driven electronic catalogs","sherif danish","acm sigmod record",1998
306105,"xml and electronic commerce: enabling the network economy","bart meltzer, robert glushko","acm sigmod record",1998
306109,"a workflow-based electronic marketplace on the web","asuman dogac, ilker durusoy, sena arpinar, nesime tatbul, pinar koksal, ibrahim cingil, nazife dimililer","acm sigmod record",1998
304571,"dbis-toolkit: adaptable middleware for large scale data delivery","mehmet altinel, demet aksoy, thomas baby, michael franklin, william shapiro, stan zdonik","international conference on management of data",1999
304570,"an xjml-based wrapper generator for web information extraction","ling liu, wei han, david buttler, calton pu, wei tang","international conference on management of data",1999
304573,"database patchwork on the internet","reinhard braumandl, alfons kemper, donald kossmann","international conference on management of data",1999
304572,"domino: databases for moving objects tracking","ouri wolfson, prasad sistla, bo xu, jutai zhou, sam chamberlain","international conference on management of data",1999
304250,"the need for distributed asynchronous transactions","lyman do, prabhu ram, pamela drew","international conference on management of data",1999
304248,"versions and workspaces in microsoft repository","thomas bergstraesser, philip a. bernstein, shankar pal, david shutt","international conference on management of data",1999
304569,"data integration and warehousing in telecom italia","stefano m. trisolini, maurizio lenzerini, daniele nardi","international conference on management of data",1999
304568,"improving oltp data quality using data warehouse mechanisms","matthias jarke, christoph quix, guido blees, dirk lehmann, gunter michalk, stefan stierl","international conference on management of data",1999
304579,"serf: odmg-based generic re-structuring facility","e. a. rundensteiner, k. claypool, m. li, l. chen, z. zhang, c. natarajan, j. jin, s. de lima, s. weiner","international conference on management of data",1999
304578,"powerbookmarks: a system for personalizable web information organization, sharing, and management","wen-syan li, quoc vu, edward chang, divyakant agrawal, kyoji hirata, sougata mukherjea, yi-leh wu, corey bufi, chen-chuan kevin chang, yoshinori hara, reiko ito, yutaka kimura, kezuyuki shimazu, yukiyoshi saito","international conference on management of data",1999
304581,"the aqua approximate query answering system","swarup acharya, phillip b. gibbons, viswanath poosala, sridhar ramaswamy","international conference on management of data",1999
304580,"tam: a system for dynamic transactional activity management","tong zhou, ling liu, calton pu","international conference on management of data",1999
304575,"exploratory mining via constrained frequent set queries","raymond ng, laks v. s. lakshmanan, jiawei han, teresa mah","international conference on management of data",1999
304574,"evolvable view environment (eve): non-equivalent view maintenance under schema changes","e. a. rundensteiner, a. koeller, x. zhang, a. j. lee, a. nica, a. van wyk, y. lee","international conference on management of data",1999
304577,"phoenix: making applications robust","roger barga, david b. lomet","international conference on management of data",1999
304576,"nodose version 2.0","brad adelberg, matthew denny","international conference on management of data",1999
304235,"bringing object-relational technology to the mainstream","vishu krishnamurthy, sandeepan banerjee, anil nori","international conference on management of data",1999
304236,"implementing the spirit of sql-99","paul brown","international conference on management of data",1999
304233,"managing web data","dan suciu","international conference on management of data",1999
304234,"o-o, what's happening to db2?","m. carey, d. chamberlin, d. doole, s. rielau, n. mattos, s. narayanan, b. vance, r. swagerman","international conference on management of data",1999
304231,"hypertext databases and data mining","soumen chakrabarti","international conference on management of data",1999
304232,"clustering methods for large databases: from the past to the future","alexander hinneburg, daniel a. keim","international conference on management of data",1999
304229,"petabyte databases","dirk d&#252;llmann","international conference on management of data",1999
304230,"a database perspective on lotus domino/notes","c. mohan","international conference on management of data",1999
304245,"microsoft site server (commerce ed.): talk-slides available at the conference","bassel ojjeh","international conference on management of data",1999
304246,"e-commerce database issues and experience: (talk-slides available at at the conference)","anand rajaraman","international conference on management of data",1999
304243,"merge replication in microsoft's sql server 7.0","brad hammond","international conference on management of data",1999
304244,"in-memory data management for consumer transactions the timesten approach","corporate timesten team","international conference on management of data",1999
304241,"emc information sharing: direct access to mvs data from unix and nt","walt kohler","international conference on management of data",1999
304242,"daytona and the foruth-generation language cymbal","rick greer","international conference on management of data",1999
304239,"datablitz storage manager: main-memory database performance for critical applications","j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar","international conference on management of data",1999
304240,"indexing medium-dimensionality data in oracle","k. v. ravi kanth, siva ravada, jayant sharma, jay banerjee","international conference on management of data",1999
304220,"storing semistructured data with stored","alin deutsch, mary fernandez, dan suciu","international conference on management of data",1999
304219,"efficient geometry-based similarity search of 3d spatial databases","daniel a. keim","international conference on management of data",1999
304218,"a new method for similarity indexing of market basket data","charu c. aggarwal, joel l. wolf, philip s. yu","international conference on management of data",1999
304217,"walrus: a similarity retrieval algorithm for image databases","apostol natsev, rajeev rastogi, kyuseok shim","international conference on management of data",1999
304216,"shrinking the warehouse update window","wilburt juan labio, ramana yerneni, hector garcia-molina","international conference on management of data",1999
304215,"dynamat: a dynamic view management system for data warehouses","yannis kotidis, nick roussopoulos","international conference on management of data",1999
304214,"bottom-up computation of sparse and iceberg cube","kevin beyer, raghu ramakrishnan","international conference on management of data",1999
304213,"client-site query extensions","tobias mayr, praveen seshadri","international conference on management of data",1999
304228,"data management issues in electronic commerce","m. tamer &#214;zsu","international conference on management of data",1999
304227,"of crawlers, portals, mice, and men: is there more to mining the web?","minos n. garofalakis, sridhar ramaswamy, rajeev rastogi, kyuseok shim","international conference on management of data",1999
304226,"honey, i shrunk the database: footprint, mobility, and beyond","praveen seshadri","international conference on management of data",1999
