cluster_id,Title,Authors,Venue,Year,Citations,Source
1800000,"Large-scale machine learning at twitter","jimmy lin, alek kolcz",SIGMOD,2012,76.16666666666667,GoogleScholar
1800001,"Fast data in the era of big data: Twitter's real-time related query suggestion architecture","gilad mishne, jeff dalton, zhenghua li, aneesh sharma, jimmy lin",SIGMOD,2013,40.833333333333336,GoogleScholar
1800002,"Summingbird: a framework for integrating batch and online MapReduce computations","oscar boykin, sam ritchie, ian o'connell, jimmy lin",VLDB,2014,36.16666666666666,GoogleScholar
1800003,"The unified logging infrastructure for data analytics at Twitter","george lee, jimmy lin, chuang liu, andrew lorek, dmitriy ryaboy",VLDB,2012,37.0,GoogleScholar
1800004,"Runtime Optimizations for Tree-Based Machine Learning Models.","nima asadi, jimmy lin, arjen p de vries",IEEE TKDE,2014,14.8,GoogleScholar
1800005,"NScale: neighborhood-centric large-scale graph analytics in the cloud","abdul quamar, amol deshpande, jimmy lin",VLDB Journal,2016,14.0,GoogleScholar
1800006,"Hone: Scaling down Hadoop on shared-memory systems","k ashwin kumar, jonathan gluck, amol deshpande, jimmy lin",VLDB,2013,11.25,GoogleScholar
1800007,"NScale: neighborhood-centric analytics on large graphs","abdul quamar, amol deshpande, jimmy lin",VLDB,2014,10.0,GoogleScholar
1800008,"Real-time twitter recommendation: online motif detection in large dynamic graphs","pankaj gupta, venu satuluri, ajeet grewal, siva gurumurthy, volodymyr zhabiuk, quannan li, jimmy lin",VLDB,2014,9.833333333333334,GoogleScholar
1800009,"GraphJet: real-time content recommendations at twitter","aneesh sharma, jerry jiang, praveen bommannavar, brian larson, jimmy lin",VLDB,2016,13.0,GoogleScholar
1800010,"In-Browser Interactive SQL Analytics with Afterburner","kareem el gebaly, jimmy lin",SIGMOD,2017,0.8,GoogleScholar
1800012,"The Ubiquity of Large Graphs and Surprising Challenges of Graph Processing","siddhartha sahu, amine mhedhbi, semih salihoglu, jimmy lin, m. tamer zsu",VLDB,2017,2.6,GoogleScholar
1800013,"Schema-Free XQuery","yunyao li, cong yu, h. v. jagadish",VLDB,2004,309.0,GoogleScholar
1800014,"Making database systems usable","h. v. jagadish, adriane chapman, aaron elkiss, magesh jayapandian, yunyao li, arnab nandi, cong yu",SIGMOD,2007,122.66666666666669,GoogleScholar
