cluster_id,Title,Authors,Venue,Year,Citations,Source
1800000,Large-scale machine learning at twitter,"Jimmy Lin, Alek Kolcz",SIGMOD,2012,76.16666666666667,GoogleScholar
1800001,Fast data in the era of big data: Twitter's real-time related query suggestion architecture,"Gilad Mishne, Jeff Dalton, Zhenghua Li, Aneesh Sharma, Jimmy Lin",SIGMOD,2013,40.833333333333336,GoogleScholar
1800002,Summingbird: a framework for integrating batch and online MapReduce computations,"Oscar Boykin,  Sam Ritchie,  Ian O'Connell,  Jimmy Lin",VLDB,2014,36.16666666666666,GoogleScholar
1800003,The unified logging infrastructure for data analytics at Twitter,"George Lee, Jimmy Lin, Chuang Liu, Andrew Lorek, Dmitriy Ryaboy",VLDB,2012,37.0,GoogleScholar
1800004,Runtime Optimizations for Tree-Based Machine Learning Models.,"Nima Asadi,  Jimmy Lin,  Arjen P De Vries",IEEE TKDE,2014,14.8,GoogleScholar
1800005,NScale: neighborhood-centric large-scale graph analytics in the cloud,"Abdul Quamar,  Amol Deshpande,  Jimmy Lin",VLDB Journal,2016,14.0,GoogleScholar
1800006,Hone: Scaling down Hadoop on shared-memory systems,"K Ashwin Kumar,  Jonathan Gluck,  Amol Deshpande,  Jimmy Lin",VLDB,2013,11.25,GoogleScholar
1800007,NScale: neighborhood-centric analytics on large graphs,"Abdul Quamar, Amol Deshpande, Jimmy Lin",VLDB,2014,10.0,GoogleScholar
1800008,Real-time twitter recommendation: online motif detection in large dynamic graphs,"Pankaj Gupta, Venu Satuluri, Ajeet Grewal, Siva Gurumurthy, Volodymyr Zhabiuk, Quannan Li, Jimmy Lin",VLDB,2014,9.833333333333334,GoogleScholar
1800009,GraphJet: real-time content recommendations at twitter,"Aneesh Sharma,  Jerry Jiang,  Praveen Bommannavar,  Brian Larson,  Jimmy Lin",VLDB,2016,13.0,GoogleScholar
1800010,In-Browser Interactive SQL Analytics with Afterburner,"Kareem El Gebaly,Jimmy Lin",SIGMOD,2017,0.8,GoogleScholar
1800012,The Ubiquity of Large Graphs and Surprising Challenges of Graph Processing,"Siddhartha Sahu,Amine Mhedhbi,Semih Salihoglu,Jimmy Lin,M. Tamer zsu",VLDB,2017,2.6,GoogleScholar
1800013,Schema-Free XQuery,"Yunyao Li, Cong Yu, H. V. Jagadish",VLDB,2004,309.0,GoogleScholar
