seq1,seq2,authors_authors_jac_qgm_3_qgm_3
"hector garcia-molina, patricia g. selinger, tomasz imielinski, david maier, jeffrey d. ullman, richard t. snodgrass",richard snodgrass,0.1415929203539823
richard snodgrass,"hector garcia-molina, patricia g. selinger, tomasz imielinski, david maier, jeffrey d. ullman, richard t. snodgrass",0.1415929203539823
per-?ke larson,"per-&#197;ke larson, dana florescu, goetz graefe, guido moerkotte, hamid pirahesh, harald sch&#246;ning",0.10377358490566037
"per-&#197;ke larson, dana florescu, goetz graefe, guido moerkotte, hamid pirahesh, harald sch&#246;ning",per-?ke larson,0.10377358490566037
c. mohan,"c. mohan, larry cable, matthieu devin, scott dietzen, pat helland, dan wolfson",0.1139240506329114
"c. mohan, larry cable, matthieu devin, scott dietzen, pat helland, dan wolfson",c. mohan,0.1139240506329114
"asterio k. tanaka, patrick valduriez","luc bouganim, maria claudia cavalcanti, fran&#231;oise fabret, maria luiza campos, fran&#231;ois llirbat, marta mattoso, rubens melo, ana maria moura, esther pacitti, fabio porto, margareth simoes, eric simon, asterio tanaka, patrick valduriez",0.1641025641025641
"luc bouganim, maria claudia cavalcanti, fran&#231;oise fabret, maria luiza campos, fran&#231;ois llirbat, marta mattoso, rubens melo, ana maria moura, esther pacitti, fabio porto, margareth simoes, eric simon, asterio tanaka, patrick valduriez","asterio k. tanaka, patrick valduriez",0.1641025641025641
"daniel j. rosenkrantz, nick koudas, dan suciu, peter scheuermann, rajeev rastogi, jiawei han, kenneth a. ross",kenneth a. ross,0.14018691588785046
kenneth a. ross,"daniel j. rosenkrantz, nick koudas, dan suciu, peter scheuermann, rajeev rastogi, jiawei han, kenneth a. ross",0.14018691588785046
"per-?ke larson, luis gravano, stefano ceri, leonid libkin, tova milo, kenneth a. ross",kenneth a. ross,0.17647058823529413
kenneth a. ross,"per-?ke larson, luis gravano, stefano ceri, leonid libkin, tova milo, kenneth a. ross",0.17647058823529413
"christos h. papadimitriou, anant jhingran, yannis e. ioannidis, kenneth a. ross",kenneth a. ross,0.1851851851851852
kenneth a. ross,"christos h. papadimitriou, anant jhingran, yannis e. ioannidis, kenneth a. ross",0.1851851851851852
shore team,corporate the shore team,0.15625
corporate the shore team,shore team,0.15625
"jennifer widom, yingwei cui","y. cui, j. widom",0.14634146341463414
"y. cui, j. widom","jennifer widom, yingwei cui",0.14634146341463414
