"id","name","description","manufacturer","price"
10011646,"linksys etherfast ezxs88w ethernet switch - ezxs88w","linksys etherfast 8-port 10/100 switch (new/workgroup)","linksys",
10140760,"linksys etherfast ezxs55w ethernet switch","5 x 10/100base-tx lan","linksys",
10221960,"netgear prosafe fs105 ethernet switch - fs105na","netgear fs105 prosafe 5 port 10/100 desktop switch","netgear",
10246269,"belkin pro series high integrity vga/svga monitor extension cable - f3h982-10","1 x hd-15 - 1 x hd-15 - 10ft - beige","belkin",
10315184,"netgear prosafe jfs516 ethernet switch","netgear prosafe 16 port 10/100 rackmount switch- jfs516na","netgear",
10316920,"lacie pocket floppy disk drive - 706018","lacie pocket usb floppy 1.44 mb","lacie",
10326220,"canon kp 36ip print cartridge / paper kit - 7737a001","36 page 4' x 6'","canon",$9.99
10333368,"kensington orbit optical trackball - usb w/ps2 adapter - 64327","optical - usb, ps/2","kensington",
10333846,"linksys etherfast ef4116 ethernet switch","16 x 10/100base-tx lan","linksys",
10333848,"linksys etherfast ef4124 ethernet switch","24 x 10/100base-tx lan","linksys",$64.99
10343605,"linksys instant gigabit eg005w ethernet switch","linksys eg005w gigabit 5-port workgroup switch","linksys",
10346525,"linksys g wireless-g wet54g wireless bridge","54mbps - 1 x 10/100base-tx","linksys",
10351869,"tripp lite powerverter 375-watt ultra-compact inverter - pv375","input voltage:12v dc - output voltage:120v ac - 375w pulse-width modulated sine wave","tripp lite",
10353206,"netgear prosafe gs105 ethernet switch - gs105na","netgear prosafe 5 port gigabit desktop switch","netgear",
10360978,"belkin monitor cable - f3h982-25","1 x hd-15 - 1 x hd-15 - 25ft - black","belkin",$15.98
10363070,"logitech driving force pro for playstation 2 - 963293-0403",,"logitech",
10363243,"belkin ac anywhere 300w power inverter - f5c400-300w","input voltage:12v dc - output voltage:110v ac - 300w stepped sine wave","belkin",
10365096,"linksys wireless-g range expander wireless bridge - wre54g","54mbps","linksys",
10373002,"sony vaio notebook and ac adapter case - vgpamc2","vaio neoprene notebook & ac adapter case up to 17 in lcd","sony",
10376165,"d-link express ethernetwork high-speed docsis 2.0 cable modem - dcm-202","d-link broadband cable modem","d-link",
10377226,"sony notebook and ac adapter cases - vgpamc3","clam shell - neoprene","sony",$12.99
10379358,"panasonic black toner cartridge - kx-fa83","panasonic toner cartridge for the kx-fl511, kx-fl541, kx-fl611 and kx-flm651 series","panasonic",
10380060,"logitech z-2300 multimedia speaker system - 970118-0403","2.1-channel","logitech",
10382243,"sony high definition mini dv cassette - dsl-190-b","sony dvm-63 hd high-definition minidv videocassette","sony",
10388980,"netgear prosafe wg102 wireless access point 802.11g - wg102na","netgear prosafe 802.11g wireless access point","netgear",
10412590,"netgear rangemax wpn802 wireless access point - wpn802na","108mbps","netgear",
