seq1,seq2,title_title_jac_qgm_3_qgm_3
dymo by pelouze heavy-duty electronic utility scale,4040 400 lb. digital shipping scale,0.07228915662650602
4040 400 lb. digital shipping scale,dymo by pelouze heavy-duty electronic utility scale,0.07228915662650602
dymo by heavy-duty electronic utility scale,4040 400 lb. digital shipping scale,0.08
4040 400 lb. digital shipping scale,dymo by heavy-duty electronic utility scale,0.08
dymo by heavy-duty electronic utility scale,dymo pelouze 4040 400 lb. digital shipping scale dark silver,0.09375
dymo pelouze 4040 400 lb. digital shipping scale dark silver,dymo by heavy-duty electronic utility scale,0.09375
dymo by heavy-duty electronic utility scale,dymo pelouze 4040 400 lb. digital shipping scale - dark silver,0.09183673469387756
dymo pelouze 4040 400 lb. digital shipping scale - dark silver,dymo by heavy-duty electronic utility scale,0.09183673469387756
dymo pelouze heavy-duty electronic scale,4040 400 lb. digital shipping scale,0.0821917808219178
4040 400 lb. digital shipping scale,dymo pelouze heavy-duty electronic scale,0.0821917808219178
dymo by pelouze electronic utility,dymo 4040 400 lb. digital shipping scale,0.06944444444444445
dymo 4040 400 lb. digital shipping scale,dymo by pelouze electronic utility,0.06944444444444445
dymo by pelouze electronic utility,4040 400 lb. digital shipping scale,0.0
4040 400 lb. digital shipping scale,dymo by pelouze electronic utility,0.0
dymo pelouze heavy-duty electronic scale,4040 400 lb. digital shipping scale,0.0821917808219178
4040 400 lb. digital shipping scale,dymo pelouze heavy-duty electronic scale,0.0821917808219178
dymo by pelouze electronic,dymo 4040 400 lb. digital shipping scale,0.078125
dymo 4040 400 lb. digital shipping scale,dymo by pelouze electronic,0.078125
dymo by pelouze electronic,4040 400 lb. digital shipping scale,0.0
4040 400 lb. digital shipping scale,dymo by pelouze electronic,0.0
dymo by pelouze heavy-duty electronic scale,4040 400 lb. digital shipping scale,0.07894736842105263
4040 400 lb. digital shipping scale,dymo by pelouze heavy-duty electronic scale,0.07894736842105263
dymo by pelouze heavy-duty electronic utility scale dark silver,dymo 4040 400 lb. digital shipping scale,0.09375
dymo 4040 400 lb. digital shipping scale,dymo by pelouze heavy-duty electronic utility scale dark silver,0.09375
dymo by pelouze heavy-duty electronic utility scale dark silver,4040 400 lb. digital shipping scale,0.041237113402061855
4040 400 lb. digital shipping scale,dymo by pelouze heavy-duty electronic utility scale dark silver,0.041237113402061855
dymo by pelouze heavy-duty electronic utility scale - dark silver,dymo 4040 400 lb. digital shipping scale,0.09183673469387756
dymo 4040 400 lb. digital shipping scale,dymo by pelouze heavy-duty electronic utility scale - dark silver,0.09183673469387756
dymo by pelouze heavy-duty electronic utility scale - dark silver,4040 400 lb. digital shipping scale,0.040404040404040414
4040 400 lb. digital shipping scale,dymo by pelouze heavy-duty electronic utility scale - dark silver,0.040404040404040414
kodak esp all-in-one value,esp 3250 all-in-one - multifunction printer copier scanner - color - ink-jet - copying up to 30 ppm mono 29 ppm color - printing up to 30 ppm mono 29 ppm color - 100 sheets - hi-speed usb,0.08275862068965517
esp 3250 all-in-one - multifunction printer copier scanner - color - ink-jet - copying up to 30 ppm mono 29 ppm color - printing up to 30 ppm mono 29 ppm color - 100 sheets - hi-speed usb,kodak esp all-in-one value,0.08275862068965517
hoffco 06-ce-mak1 kit,mobile accessory kit,0.0975609756097561
mobile accessory kit,hoffco 06-ce-mak1 kit,0.0975609756097561
hoffco 06-ce-mak1 kit,amp mobile accessory kit,0.08888888888888889
amp mobile accessory kit,hoffco 06-ce-mak1 kit,0.08888888888888889
hoffco 06-ce-mak1 kit,amp - mobile accessory kit,0.0851063829787234
amp - mobile accessory kit,hoffco 06-ce-mak1 kit,0.0851063829787234
hoffco 06-ce-mak1 kit,mobile accessory kit amp,0.0425531914893617
mobile accessory kit amp,hoffco 06-ce-mak1 kit,0.0425531914893617
hoffco 06-ce-mak1 kit,mobile accessory kit - amp,0.040816326530612235
mobile accessory kit - amp,hoffco 06-ce-mak1 kit,0.040816326530612235
hoffco 06-ce-mak1 kit,mobile accessory kit black,0.040816326530612235
mobile accessory kit black,hoffco 06-ce-mak1 kit,0.040816326530612235
hoffco 06-ce-mak1 kit,mobile accessory kit - black,0.0392156862745098
mobile accessory kit - black,hoffco 06-ce-mak1 kit,0.0392156862745098
eco green ipad case,diaper dude ipad,0.08333333333333333
diaper dude ipad,eco green ipad case,0.08333333333333333
diaper dude ipad,eco green ipad case,0.08333333333333333
eco green ipad case,diaper dude ipad,0.08333333333333333
diaper dude ipad,eco green ipad case digi-ipadpet10,0.061224489795918366
eco green ipad case digi-ipadpet10,diaper dude ipad,0.061224489795918366
sandisk 8gb microsdhc memory card,8gb card 008g a11m,0.1
8gb card 008g a11m,sandisk 8gb microsdhc memory card,0.1
8gb microsdhc memory card,sandisk 8gb card sdsdq 008g a11m,0.08928571428571429
sandisk 8gb card sdsdq 008g a11m,8gb microsdhc memory card,0.08928571428571429
8gb memory card,sandisk 8gb microsd sdsdq 008g a11m,0.05882352941176471
sandisk 8gb microsd sdsdq 008g a11m,8gb memory card,0.05882352941176471
8gb memory card,sandisk 8gb microsd card sdsdq 008g a11m - black,0.09836065573770493
sandisk 8gb microsd card sdsdq 008g a11m - black,8gb memory card,0.09836065573770493
8gb memory card,sandisk microsd card sdsdq 008g a11m,0.0576923076923077
sandisk microsd card sdsdq 008g a11m,8gb memory card,0.0576923076923077
sandisk microsdhc memory card,8gb card 008g a11m,0.0625
8gb card 008g a11m,sandisk microsdhc memory card,0.0625
microsdhc memory card,sandisk 8gb microsd sdsdq 008g a11m,0.09090909090909093
sandisk 8gb microsd sdsdq 008g a11m,microsdhc memory card,0.09090909090909093
microsdhc memory card,sandisk 8gb card sdsdq 008g a11m,0.05555555555555555
sandisk 8gb card sdsdq 008g a11m,microsdhc memory card,0.05555555555555555
microsdhc memory card,8gb card 008g a11m,0.075
8gb card 008g a11m,microsdhc memory card,0.075
sandisk microsdhc memory card,8gb card 008g a11m,0.0625
8gb card 008g a11m,sandisk microsdhc memory card,0.0625
ipod touch 4g case clear,griffin technology formfit for touch pink,0.08064516129032258
griffin technology formfit for touch pink,ipod touch 4g case clear,0.08064516129032258
standard dslr holster,ape case large holster camera bag acpro650,0.1
ape case large holster camera bag acpro650,standard dslr holster,0.1
ape standard dslr,ape case large slr holster camera bag acpro650,0.1
ape case large slr holster camera bag acpro650,ape standard dslr,0.1
ape standard dslr,norazza  inc. ape case large slr holster camera bag acpro650,0.05263157894736842
norazza  inc. ape case large slr holster camera bag acpro650,ape standard dslr,0.05263157894736842
ape standard dslr,norazza  inc. - ape case large slr holster camera bag acpro650,0.05128205128205128
norazza  inc. - ape case large slr holster camera bag acpro650,ape standard dslr,0.05128205128205128
ape standard dslr,ape case large slr holster camera bag acpro650 norazza  inc.,0.08108108108108109
ape case large slr holster camera bag acpro650 norazza  inc.,ape standard dslr,0.08108108108108109
ape standard dslr,ape case large slr holster camera bag acpro650 - norazza  inc.,0.07894736842105263
ape case large slr holster camera bag acpro650 - norazza  inc.,ape standard dslr,0.07894736842105263
ape standard dslr,case slr holster camera bag acpro650,0.03636363636363636
case slr holster camera bag acpro650,ape standard dslr,0.03636363636363636
ape standard dslr,ape case large holster camera bag acpro650,0.06896551724137931
ape case large holster camera bag acpro650,ape standard dslr,0.06896551724137931
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media,0.027027027027027032
qic 250 mb 500 mb - qic-150 - storage media,imation 46157 dc6250 data cartridge,0.027027027027027032
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media imation,0.09090909090909093
qic 250 mb 500 mb - qic-150 - storage media imation,imation 46157 dc6250 data cartridge,0.09090909090909093
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media - imation,0.08974358974358974
qic 250 mb 500 mb - qic-150 - storage media - imation,imation 46157 dc6250 data cartridge,0.08974358974358974
imation 46157 dc6250 data cartridge,qic mb 500 mb - qic-150 - storage media,0.0136986301369863
qic mb 500 mb - qic-150 - storage media,imation 46157 dc6250 data cartridge,0.0136986301369863
imation 46157 dc6250 data cartridge,qic mb mb qic-150 - storage media,0.014705882352941175
qic mb mb qic-150 - storage media,imation 46157 dc6250 data cartridge,0.014705882352941175
imation 46157 dc6250 data cartridge,250 mb mb - qic-150 - storage media,0.029411764705882356
250 mb mb - qic-150 - storage media,imation 46157 dc6250 data cartridge,0.029411764705882356
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - media,0.030303030303030307
qic 250 mb 500 mb - qic-150 - media,imation 46157 dc6250 data cartridge,0.030303030303030307
imation 46157 dc6250 data cartridge,qic mb 500 mb - - storage media,0.0
qic mb 500 mb - - storage media,imation 46157 dc6250 data cartridge,0.0
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media blue,0.038461538461538464
qic 250 mb 500 mb - qic-150 - storage media blue,imation 46157 dc6250 data cartridge,0.038461538461538464
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media - blue,0.0379746835443038
qic 250 mb 500 mb - qic-150 - storage media - blue,imation 46157 dc6250 data cartridge,0.0379746835443038
imation 46157 dc6250 data cartridge,qic 250 mb mb - qic-150 - storage media,0.028169014084507043
qic 250 mb mb - qic-150 - storage media,imation 46157 dc6250 data cartridge,0.028169014084507043
imation 46157 dc6250 data cartridge,qic 250 mb 500 mb - - storage media,0.029411764705882356
qic 250 mb 500 mb - - storage media,imation 46157 dc6250 data cartridge,0.029411764705882356
46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media,0.030303030303030307
qic 250 mb 500 mb - qic-150 - storage media,46157 dc6250 data cartridge,0.030303030303030307
46157 dc6250 data cartridge,imation qic 250 mb 500 mb - qic-150 - storage media,0.0273972602739726
imation qic 250 mb 500 mb - qic-150 - storage media,46157 dc6250 data cartridge,0.0273972602739726
46157 dc6250 data cartridge,imation - qic 250 mb 500 mb - qic-150 - storage media,0.0273972602739726
imation - qic 250 mb 500 mb - qic-150 - storage media,46157 dc6250 data cartridge,0.0273972602739726
46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media imation,0.027027027027027032
qic 250 mb 500 mb - qic-150 - storage media imation,46157 dc6250 data cartridge,0.027027027027027032
46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media - imation,0.02666666666666667
qic 250 mb 500 mb - qic-150 - storage media - imation,46157 dc6250 data cartridge,0.02666666666666667
46157 dc6250 data cartridge,qic mb 500 mb - qic-150 - storage media,0.015384615384615384
qic mb 500 mb - qic-150 - storage media,46157 dc6250 data cartridge,0.015384615384615384
46157 dc6250 data cartridge,qic mb mb qic-150 - storage media,0.016666666666666666
qic mb mb qic-150 - storage media,46157 dc6250 data cartridge,0.016666666666666666
46157 dc6250 data cartridge,250 mb mb - qic-150 - storage media,0.03333333333333333
250 mb mb - qic-150 - storage media,46157 dc6250 data cartridge,0.03333333333333333
46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - media,0.03448275862068965
qic 250 mb 500 mb - qic-150 - media,46157 dc6250 data cartridge,0.03448275862068965
46157 dc6250 data cartridge,qic mb 500 mb - - storage media,0.0
qic mb 500 mb - - storage media,46157 dc6250 data cartridge,0.0
46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media blue,0.042857142857142864
qic 250 mb 500 mb - qic-150 - storage media blue,46157 dc6250 data cartridge,0.042857142857142864
46157 dc6250 data cartridge,qic 250 mb 500 mb - qic-150 - storage media - blue,0.04225352112676056
qic 250 mb 500 mb - qic-150 - storage media - blue,46157 dc6250 data cartridge,0.04225352112676056
46157 dc6250 data cartridge,qic 250 mb mb - qic-150 - storage media,0.031746031746031744
qic 250 mb mb - qic-150 - storage media,46157 dc6250 data cartridge,0.031746031746031744
46157 dc6250 data cartridge,qic 250 mb 500 mb - - storage media,0.03333333333333333
qic 250 mb 500 mb - - storage media,46157 dc6250 data cartridge,0.03333333333333333
imation 46157 dc6250 data,qic 250 mb 500 mb - qic-150 - storage media,0.047619047619047616
qic 250 mb 500 mb - qic-150 - storage media,imation 46157 dc6250 data,0.047619047619047616
imation 46157 dc6250 data,qic mb 500 mb - qic-150 - storage media,0.03225806451612903
qic mb 500 mb - qic-150 - storage media,imation 46157 dc6250 data,0.03225806451612903
imation 46157 dc6250 data,qic mb mb qic-150 - storage media,0.03508771929824561
qic mb mb qic-150 - storage media,imation 46157 dc6250 data,0.03508771929824561
imation 46157 dc6250 data,250 mb mb - qic-150 - storage media,0.05263157894736842
250 mb mb - qic-150 - storage media,imation 46157 dc6250 data,0.05263157894736842
imation 46157 dc6250 data,qic 250 mb 500 mb - qic-150 - media,0.054545454545454536
qic 250 mb 500 mb - qic-150 - media,imation 46157 dc6250 data,0.054545454545454536
imation 46157 dc6250 data,qic mb 500 mb - - storage media,0.017857142857142856
qic mb 500 mb - - storage media,imation 46157 dc6250 data,0.017857142857142856
imation 46157 dc6250 data,qic 250 mb 500 mb - qic-150 - storage media blue,0.028985507246376805
qic 250 mb 500 mb - qic-150 - storage media blue,imation 46157 dc6250 data,0.028985507246376805
imation 46157 dc6250 data,qic 250 mb 500 mb - qic-150 - storage media - blue,0.028571428571428567
qic 250 mb 500 mb - qic-150 - storage media - blue,imation 46157 dc6250 data,0.028571428571428567
imation 46157 dc6250 data,qic 250 mb mb - qic-150 - storage media,0.05
