seq1,seq2,title_title_jac_qgm_3_qgm_3
hp c6020b coated paper 1 roll 36-inches x 150 ft,hp coated paper 24 inches x 150 feet roll,0.5
hp c6020b coated paper 1 roll 36-inches x 150 ft,hp coated paper 42 inches x 150 feet roll,0.5
gear head quick 1.3mp webcam with night vision red black,quick 1.3mp webcam with night vision blue,0.5538461538461539
xfx radeon hd6850 pcie 1gb ddr5 graphics card,xfx radeon hd 5770 1 gb ddr5 pcie graphics card hd577aznfc,0.5
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,cork bulletin board cork over fiberboard 48 x 36 natural oak frame,0.5
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,acco brands inc. 2366 enclosed bulletin board natural cork fiberboard 72 x 36 aluminum frame,0.5192307692307693
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,quartet 307 - bulletin board natural cork over fiberboard 72 x 48 solid oak frame,0.5
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,quartet 2004 - bulletin bar i natural cork bulletin 24 x 1 natural aluminum frame,0.5111111111111111
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,new-quartet 2363 - enclosed bulletin board natural cork fiberboard 24 x 36 aluminum frame - qrt2363,0.5576923076923077
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,quartet 2363 - enclosed bulletin board natural cork fiberboard 24 x 36 aluminum frame,0.6966292134831461
quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,new-quartet 2366 - enclosed bulletin board natural cork fiberboard 72 x 36 aluminum frame - qrt2366,0.5576923076923077
hp ce278a black laserjet print cartridge,hp laserjet ce505x black print cartridge,0.66
hp ce278a black laserjet print cartridge,hp laserjet 36a black print cartridge cb436a,0.5535714285714286
hp ce278a black laserjet print cartridge,hp q7551x laserjet 51x black print cartridge,0.5925925925925926
fujifilm instax mini twin pack film,fujifilm instax wide instant film twin pack,0.5208333333333334
da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68,da-lite 40433 da-mat fast fold complete front projection screen - 92 x 92,0.6627906976744186
da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68,da-lite 40439 da-mat fast fold complete front projection screen - 104 x 104,0.6551724137931034
