custom_id,brand,modelno,title,price,descr,shipweight,dimensions1,dimensions2,dimensions3
1,draper,121066,draper infrared remote transmitter,58.45,infrared transmitter. 3-button operation for instant access to up  down and stop functions. fully compatible with learnable ir master control systems. receiver sold seperately plugs into the draper low-voltage control unit lvc-iii sold separately .,2.0,0,0,0
2,epson,elplp12,epson 1500 hours 200w uhe projector lamp elplp12,438.84,,0.95,6.75,5.75,5.5
3,comprehensive,bj2c7559,comprehensive two-piece 75 precision bnc jack for rg-59 set of 25,59.25,comprehensive s true 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. true 75 bnc connectors are a must for all digital high bandwidth applications above 300 mhz and recommended for all analog applications. a lifetime warranty makes comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. specifications electrical -impedance 75 ohm -freq. range 0-4 ghz w low reflection 500v peak 1.3 max. -thermal limits usable to 11 ghz -voltage rating pe insulators -55 degrees c to 85 degrees c mechanical -mating 2-stud bayonet lock coupling per m39012 -center contact captivated center contact -cable retention crimps 20 to 50 lbs material -center contacts male female brass beryllium copper -body brass astroplate finish -crimp ferrule copper -insulators tfe teflon 75 all crimps rexolite -derlin 50 glass ife hermetically sealed -clamp gaskets synthetic rubber silicone rubber -boots o ring crimp silicone rubber -heat shrink tubing all other crimps thermofit plastic  comprehensive offers a lifetime warranty on all products,0.05,0,0,0
4,d-link,dcs1100,d-link dcs-1100 network camera,99.82,surveillance network camera  built-in omni-directional microphone  supports 4 profiles simultaneously,0.0,0,0,0
5,startech,rkpw247015,startech.com rkpw247015 24 outlet power strip,59.0,fits most 42u racks and equipment cabinets  10 ft. power cord provides plenty of reach to power outlets  24 evenly spaced outlets help keep power cabling clean,5.25,72.5,2.5,1.5
6,3m,fr530cb,3m fr530cb ergonomic adjustable footrest,67.88,material steel  features non-skid  color charcoal black,10.5,21.6,13.5,4.05
7,hp,c6020b,hp c6020b coated paper 1 roll 36-inches x 150 ft,49.88,bright white coated paper  for use with inkjet printers  ideal for color-accurate prints and design proofs,9.78,33.98,3.83,3.83
8,visioneer,rw120wu,visioneer rw120-wu roadwarrior sheetfed scanner,199.98,sheetfed color scanner  600 dpi  usb connection,1.85,11.4,2.0,1.5
9,brother,dk2113,brother dk2113 ql label printers continuous length tape,64.88,clear label tape  ideal for sign and banner creation  1 roll - 2.44  x 50,0.55,4.5,4.5,3.6
10,3m,mw310le,3m mw310le gel mouse pad,17.88,mouse pad  features antimicrobial non-skid base  color black,0.95,9.63,7.65,0.36
11,lacie,130935,lacie formoa 15  macbook carrying case black,15.0,bubble protection and soft inside lining three pockets for 15 in. macbooks,1.3,16.1,11.5,0.9
12,draper,116263,draper high contrast grey targa electric screen  - widescreen 182 diagonal,1730.95,targa electric projection screen. ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms. the motor is mounted inside the roller for a trim balanced appearance. pentagonal steel case is scratch-resistant white polyester finish with matching endcaps. features -now available in 16 10 and 15 9 laptop presentation formats.-screen operates instantly at the touch of a button and stops automatically in the up and down positions..-viewing surface can be lowered to any position at the touch of a switch..-ntsc hdtv and widescreen format screens have black borders on all four sides.-available with a ceiling trim kit for ceiling recessed installation..-with control options it can be operated from any remote location..-depending on surface available in sizes through 16 x 16 and 240 ntsc..-custom sizes available..-warranted for one year against defects in materials and workmanship.. screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained. performs well in ambient light condition. high contrast grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . available on most non-tensioned motorized and manual screens seamless in sizes up to 8  in height. peak gain of 0.8.,100.0,0,0,0
13,draper,106018,draper at1200 access multiview series e acoustically transparent screen - 106 diagonal hdtv to ntsc format,4375.95,the access multiview series e offers total flexibility. one screen two formats. ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. features -ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection..-flat black mask on second motor-in-roller converts the projection screen to a 4 3 ntsc format by masking the right and left sides of the viewing surface..-height of viewing surface remains constant..-custom sizes available. screen material at1200 innovative and versatile acoustically transparent screen material. similar in gain performance to standard matt white. acoustical properties comparable to the finest speaker grille cloth. peak gain of 1.0. installation instructions,96.0,0,0,0
14,stanley,pc509,stanley 500 watt power inverter,34.88,500 watts of continuous power battery clamps dc plug,2.6,9.75,5.0,2.25
15,gear head,wc1200red,gear head quick 1.3mp webcam with night vision red black,15.98,up to 1.3 megapixel image capture 640 x 480 video resolution desktop or laptop mount,1.5,7.2,4.4,3.5
16,avery,5029,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,21.47,clear 1 3 cut filing labels clear labels virtually disappear on tabs  labels are 3-7 16,0.41200000000000003,0,0,0
17,xfx,hd685xzndc,xfx radeon hd6850 pcie 1gb ddr5 graphics card,195.0,800 mhz gpu core clock 4200 mhz memory speed 2gb gddr5,1.08,32.4,16.4,10.0
18,skb cases,3skb1914mr,skb cases ph series pull handle case 11 1 2 h x 21 5 8 w x 16 3 8 d outside,214.99,telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of skb transit cases set a new industry standard. molded of high density polyethylene with designed-in roller-blade style wheels. molded-in bumpers defend these cases from impact damage. features -cases are molded of durable impact resistent high-density polyethylene -convenient retractable pull-handle -quiet durable roller-blade style wheels -molded in protective bumpers protect case hardware -heavy-duty buckle latch system -comfortable spring loaded side handles dimensions -outside dimensions 11 1 2 h x 21 5 8 w x 16 3 8 d -inside dimensions 10 h x 19 3 8 w x 14 d -lid depth 4 -base depth 6 about skb cases in 1977 the first skb case was manufactured in a small anaheim california garage. today skb engineers provide cases for hundreds of companies involved in many diverse industries. we enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. we never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. we are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an skb logo has been manufactured with an unconditional commitment to unsurpassed quality. the million mile guaranty - every skb hardshell case is unconditionally guaranteed forever. that means if you break it we will repair or replace it at no cost to you. skb cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. these ar,14.0,19.0,14.0,10.0
19,innovera,39701,innovera cd dvd pocket with built-in label tab clear 25 pack,5.28,cd pocket with built-in tab for adhesive id labels tuck-in flap keeps cds secure 30 adhesive labels included,0.386,0,0,0
20,hp,c4890a,hp 80 ink printhead printhead cleaner black c4890a,268.79,print cartridge printhead and printhead cleaner printing technology inkjet,1.79,0,0,0
21,mead,6622,mead spiral bound notebook college rule,3.88,3-hole punched college rule sheet size 8  available in 100 120 or 180 sheets per pad,0.8370000000000001,0,0,0
22,iogear,gcs632uw6,iogear 2-port miniview micro usb plus kvm switch,37.57,6 molded-in cables simplify setup full support for mac and sun systems usb sniffing technology for error-free boot-up,1.15,10.0,7.0,3.0
23,quartet,2305,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,91.44,self-healing cork surface perfect for school home or office use includes mounting hardware,16.16,0,0,0
24,avery,,avery shipping labels for color laser   copier 3-3 4 x 4-3 4 matte white 100 pack,16.67,matte white mailing labels guaranteed printer performance in hp canon epson and other popular printers set of 300 labels,0.0,0,0,0
25,aluratek,2782753,aluratek deluxe leather travel case for the libre ebook reader pro,23.1,premium quality hand-stitched leather held securely with outside magnetic clasp lightweight and compact for easy travel sturdy and stylish black leather exterior,0.5,6.25,4.75,1.0
26,hp,hp ce278a,hp ce278a black laserjet print cartridge,69.84,1 print cartridge color black printing technology laserjet,1.8,1.0,1.0,1.0
27,cyberpower,cp1000pfclcd,cyber power pfc 1000va lcd sinewave adaptive intelligent ups,151.0,intelligent lcd diagnostic display automatic voltage regulation reduced energy costs and reduced heat,19.15,13.5,11.2,6.3
28,tribeca,fva2868,tribeca dallas cowboys 15  sleeve for macbook pros,31.88,fits macbook pros and 15  laptops shock absorbing neoprene front storage pocket,0.85,15.88,12.6,1.13
29,,6644wh,tablemate plastic dinnerware 6 inch plates 125pk,18.97,,1.859,6.0,6.0,5.7
30,vantec,nst400mxs2,vantec nexstar mx dual 3.5  sata hard drive enclosure,49.71,supports dual sata i ii hard drives front ventilation and rear fan stylish aluminum case,5.0,10.0,7.0,6.0
31,fuji,mini film 2pk,fujifilm instax mini twin pack film,20.28,film speed iso 800 30 degrees number of photos per pack 10 compatible with the fujifilm instax mini 7s,0.15,3.0,2.0,1.77
32,tribeca,fva2782,chicago bears camera case,19.99,capture that special moment and slip your camera in this chicago bears camera case before the next big play. made of high quality nylon the case features a stash pocket on the front to hold your memory cards and accessories.,0.0,0,0,0
