custom_id,brand,modelno,title,price,descr,dimensions,shipweight
1,Draper,121066,Draper Infrared Remote Transmitter,58.45,Infrared transmitter. 3-button operation for instant access to up  down and stop functions. Fully compatible with learnable IR master control systems. Receiver sold seperately plugs into the Draper low-voltage control unit LVC-III sold separately .,,2.0
2,Epson,ELPLP12,Epson 1500 Hours 200W UHE Projector Lamp ELPLP12,438.84,,6.75 x 5.75 x 5.5 inches,0.95
3,Comprehensive,BJ-2C7559,Comprehensive Two-Piece 75 Precision BNC Jack for RG-59 Set of 25,59.25,Comprehensive s True 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. True 75 BNC connectors are a must for all digital high bandwidth applications above 300 MHz and recommended for all analog applications. A lifetime warranty makes Comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. Specifications Electrical -Impedance 75 ohm -Freq. Range 0-4 GHZ w low reflection 500V peak 1.3 max. -Thermal limits Usable to 11 GHZ -Voltage Rating PE insulators -55 degrees C to 85 degrees C Mechanical -Mating 2-stud bayonet lock coupling per m39012 -Center Contact Captivated center contact -Cable Retention Crimps 20 to 50 lbs Material -Center contacts Male Female Brass beryllium copper -Body Brass astroplate finish -Crimp Ferrule Copper -Insulators TFE Teflon 75 all crimps rexolite -Derlin 50 glass IFE hermetically sealed -Clamp Gaskets Synthetic rubber silicone rubber -Boots O ring crimp silicone rubber -Heat Shrink Tubing All other crimps thermofit plastic  Comprehensive offers a lifetime warranty on all products,,0.05
4,D-Link,DCS-1100,D-Link DCS-1100 Network Camera,99.82,Surveillance Network Camera  Built-in Omni-directional Microphone  Supports 4 profiles simultaneously,,
5,StarTech,RKPW247015,StarTech.com RKPW247015 24 Outlet Power Strip,59,Fits most 42U racks and equipment cabinets  10 ft. power cord provides plenty of reach to power outlets  24 evenly spaced outlets help keep power cabling clean,72.5 x 2.5 x 1.5 inches,5.25
6,3M,FR530CB,3M FR530CB Ergonomic Adjustable Footrest,67.88,Material Steel  Features Non-skid  Color Charcoal Black,21.6 x 13.5 x 4.05 inches,10.5
7,HP,C6020B,HP C6020B Coated Paper 1 roll 36-inches x 150 ft,49.88,Bright white coated paper  For use with Inkjet printers  Ideal for color-accurate prints and design proofs,33.98 x 3.83 x 3.83 inches,9.78
8,Visioneer,RW120-WU,Visioneer RW120-WU RoadWarrior Sheetfed Scanner,199.98,Sheetfed color scanner  600 dpi  USB connection,11.4 x 2.0 x 1.5 inches,1.85
9,Brother,DK2113,Brother DK2113 QL Label Printers Continuous Length Tape,64.88,Clear label tape  Ideal for sign and banner creation  1 roll - 2.44  x 50,4.5 x 4.5 x 3.6 inches,0.55
10,3M,MW310LE,3M MW310LE Gel Mouse Pad,17.88,Mouse Pad  Features Antimicrobial non-skid base  Color Black,9.63 x 7.65 x 0.36 inches,0.95
