id,name,address,city,flavor,cluster_id
0,"arnie morton's of chicago","435 s. la cienega blv.","los angeles","american",0
1,"arnie morton's of chicago","435 s. la cienega blvd.","los angeles","steakhouses",0
2,"art's delicatessen","12224 ventura blvd.","studio city","american",1
3,"art's deli","12224 ventura blvd.","studio city","delis",1
4,"hotel bel-air","701 stone canyon rd.","bel air","californian",2
5,"bel-air hotel","701 stone canyon rd.","bel air","californian",2
6,"cafe bizou","14016 ventura blvd.","sherman oaks","french",3
7,"cafe bizou","14016 ventura blvd.","sherman oaks","french bistro",3
8,"campanile","624 s. la brea ave.","los angeles","american",4
9,"campanile","624 s. la brea ave.","los angeles","californian",4
10,"chinois on main","2709 main st.","santa monica","french",5
11,"chinois on main","2709 main st.","santa monica","pacific new wave",5
12,"citrus","6703 melrose ave.","los angeles","californian",6
13,"citrus","6703 melrose ave.","los angeles","californian",6
14,"fenix","8358 sunset blvd. west","hollywood","american",7
15,"fenix at the argyle","8358 sunset blvd.","w. hollywood","french (new)",7
16,"granita","23725 w. malibu rd.","malibu","californian",8
17,"granita","23725 w. malibu rd.","malibu","californian",8
18,"grill on the alley","9560 dayton way","los angeles","american",9
19,"grill  the","9560 dayton way","beverly hills","american (traditional)",9
20,"restaurant katsu","1972 n. hillhurst ave.","los angeles","asian",10
21,"katsu","1972 hillhurst ave.","los feliz","japanese",10
22,"l'orangerie","903 n. la cienega blvd.","los angeles","french",11
23,"l'orangerie","903 n. la cienega blvd.","w. hollywood","french (classic)",11
24,"le chardonnay","8284 melrose ave.","los angeles","french",12
25,"le chardonnay (los angeles)","8284 melrose ave.","los angeles","french bistro",12
26,"locanda veneta","3rd st.","los angeles","italian",13
27,"locanda veneta","8638 w. third st.","los angeles","italian",13
28,"matsuhisa","129 n. la cienega blvd.","beverly hills","asian",14
29,"matsuhisa","129 n. la cienega blvd.","beverly hills","seafood",14
30,"the palm","9001 santa monica blvd.","los angeles","american",15
31,"palm  the (los angeles)","9001 santa monica blvd.","w. hollywood","steakhouses",15
32,"patina","5955 melrose ave.","los angeles","californian",16
33,"patina","5955 melrose ave.","los angeles","californian",16
34,"philippe's the original","1001 n. alameda st.","los angeles","american",17
35,"philippe the original","1001 n. alameda st.","chinatown","cafeterias",17
36,"pinot bistro","12969 ventura blvd.","los angeles","french",18
37,"pinot bistro","12969 ventura blvd.","studio city","french bistro",18
38,"rex il ristorante","617 s. olive st.","los angeles","italian",19
39,"rex il ristorante","617 s. olive st.","los angeles","nuova cucina italian",19
40,"spago","1114 horn ave.","los angeles","californian",20
41,"spago (los angeles)","8795 sunset blvd.","w. hollywood","californian",20
42,"valentino","3115 pico blvd.","santa monica","italian",21
43,"valentino","3115 pico blvd.","santa monica","italian",21
44,"yujean kang's gourmet chinese cuisine","67 n. raymond ave.","los angeles","asian",22
45,"yujean kang's","67 n. raymond ave.","pasadena","chinese",22
46,"21 club","21 w. 52nd st.","new york","american",23
47,"21 club","21 w. 52nd st.","new york city","american (new)",23
48,"aquavit","13 w. 54th st.","new york","continental",24
49,"aquavit","13 w. 54th st.","new york city","scandinavian",24
50,"aureole","34 e. 61st st.","new york","american",25
51,"aureole","34 e. 61st st.","new york city","american (new)",25
52,"cafe lalo","201 w. 83rd st.","new york","coffee bar",26
53,"cafe lalo","201 w. 83rd st.","new york city","coffeehouses",26
54,"cafe des artistes","1 w. 67th st.","new york","continental",27
55,"cafe des artistes","1 w. 67th st.","new york city","french (classic)",27
56,"carmine's","2450 broadway  between 90th and 91st sts.","new york","italian",28
57,"carmine's","2450 broadway","new york city","italian",28
58,"carnegie deli","854 7th ave.  between 54th and 55th sts.","new york","delicatessen",29
59,"carnegie deli","854 seventh ave.","new york city","delis",29
60,"chanterelle","2 harrison st.  near hudson st.","new york","american",30
61,"chanterelle","2 harrison st.","new york city","french (new)",30
62,"daniel","20 e. 76th st.","new york","french",31
63,"daniel","20 e. 76th st.","new york city","french (new)",31
64,"dawat","210 e. 58th st.","new york","asian",32
65,"dawat","210 e. 58th st.","new york city","indian",32
66,"felidia","243 e. 58th st.","new york","italian",33
67,"felidia","243 e. 58th st.","new york city","italian",33
68,"four seasons grill room","99 e. 52nd st.","new york","american",34
69,"four seasons","99 e. 52nd st.","new york city","american (new)",34
70,"gotham bar & grill","12 e. 12th st.","new york","american",35
71,"gotham bar & grill","12 e. 12th st.","new york city","american (new)",35
72,"gramercy tavern","42 e. 20th st.  between park ave. s and broadway","new york","american",36
73,"gramercy tavern","42 e. 20th st.","new york city","american (new)",36
74,"island spice","402 w. 44th st.","new york","tel caribbean",37
75,"island spice","402 w. 44th st.","new york city","caribbean",37
76,"jo jo","160 e. 64th st.","new york","american",38
77,"jo jo","160 e. 64th st.","new york city","french bistro",38
78,"la caravelle","33 w. 55th st.","new york","french",39
79,"la caravelle","33 w. 55th st.","new york city","french (classic)",39
80,"la cote basque","60 w. 55th st.  between 5th and 6th ave.","new york","french",40
81,"la cote basque","60 w. 55th st.","new york city","french (classic)",40
82,"le bernardin","155 w. 51st st.","new york","french",41
83,"le bernardin","155 w. 51st st.","new york city","seafood",41
