seq1,seq2,name_name_jac_qgm_3_qgm_3
le chardonnay (new york city),le chardonnay  (new york city),0.9090909090909092
le chardonnay  (new york city),le chardonnay (new york city),0.9090909090909092
le chardonnay (los angeles),le chardonnay  (los angeles),0.9032258064516128
le chardonnay  (los angeles),le chardonnay (los angeles),0.9032258064516128
le chardonnay (californian),le chardonnay  (californian),0.9032258064516128
le chardonnay  (californian),le chardonnay (californian),0.9032258064516128
des artistes,des artistes,1.0
des artistes,des artistes,1.0
des artistes (new york),des artistes (new york),1.0
des artistes (new york),des artistes (new york),1.0
des artistes (new york city),des artistes (new york city),1.0
des artistes (new york city),des artistes (new york city),1.0
des artistes (los angeles),des artistes (los angeles),1.0
des artistes (los angeles),des artistes (los angeles),1.0
des artistes (californian),des artistes (californian),1.0
des artistes (californian),des artistes (californian),1.0
des artistes (las vegas),des artistes (las vegas),1.0
des artistes (las vegas),des artistes (las vegas),1.0
lespinasse (new york city),lespinasse  (new york city),0.9
lespinasse  (new york city),lespinasse (new york city),0.9
park avenue,park avenue,1.0
park avenue,park avenue,1.0
park avenue cafe (new york),park avenue cafe  (new york),0.9032258064516128
park avenue cafe  (new york),park avenue cafe (new york),0.9032258064516128
park avenue cafe (new york city),park avenue cafe  (new york city),0.9142857142857144
park avenue cafe  (new york city),park avenue cafe (new york city),0.9142857142857144
park avenue cafe (los angeles),park avenue cafe  (los angeles),0.9117647058823528
park avenue cafe  (los angeles),park avenue cafe (los angeles),0.9117647058823528
park avenue cafe (californian),park avenue cafe  (californian),0.9117647058823528
park avenue cafe  (californian),park avenue cafe (californian),0.9117647058823528
park avenue cafe (las vegas),park avenue cafe  (las vegas),0.90625
park avenue cafe  (las vegas),park avenue cafe (las vegas),0.90625
park avenue (new york),park avenue (new york),1.0
park avenue (new york),park avenue (new york),1.0
park avenue (new york city),park avenue (new york city),1.0
park avenue (new york city),park avenue (new york city),1.0
park avenue (los angeles),park avenue (los angeles),1.0
park avenue (los angeles),park avenue (los angeles),1.0
park avenue (californian),park avenue (californian),1.0
park avenue (californian),park avenue (californian),1.0
park avenue (las vegas),park avenue (las vegas),1.0
park avenue (las vegas),park avenue (las vegas),1.0
union square,union square,1.0
union square,union square,1.0
union square (new york),union square (new york),1.0
union square (new york),union square (new york),1.0
union square (new york city),union square (new york city),1.0
union square (new york city),union square (new york city),1.0
union square (los angeles),union square (los angeles),1.0
union square (los angeles),union square (los angeles),1.0
union square (californian),union square (californian),1.0
union square (californian),union square (californian),1.0
union square (las vegas),union square (las vegas),1.0
union square (las vegas),union square (las vegas),1.0
coyote cafe (new york city),coyote cafe  (new york city),0.9032258064516128
coyote cafe  (new york city),coyote cafe (new york city),0.9032258064516128
second street grille restaurant (new york city),second street grill restaurant (new york city),0.9019607843137256
second street grill restaurant (new york city),second street grille restaurant (new york city),0.9019607843137256
brasserie (new york city),brasserie le (new york city),0.9
brasserie le (new york city),brasserie (new york city),0.9
ritz-carlton buckhead,ritz-carlton buckhead,1.0
ritz-carlton buckhead,ritz-carlton buckhead,1.0
ritz-carlton buckhead (new york),ritz-carlton buckhead (new york),1.0
ritz-carlton buckhead (new york),ritz-carlton buckhead (new york),1.0
ritz-carlton buckhead (new york city),ritz-carlton buckhead (new york city),1.0
ritz-carlton buckhead (new york city),ritz-carlton buckhead (new york city),1.0
ritz-carlton buckhead (los angeles),ritz-carlton buckhead (los angeles),1.0
