id,name,addr,city,state,zipcode,phone,website,pricerange,category,ratingvalue,neighborhood,takes reservations,delivery,take-out,accepts credit cards,good for,parking,attire,ambience,alcohol,outdoor seating,wi-fi,waiter service,caters
1,sunshine co.,780 washington ave,new york,ny,11238,(347) 750-5275,sunshinecobk.com,$$,american (new);cocktail bars,4.0,crown heights; prospect heights,yes,no,no,yes,brunch,street,casual,hipster,full bar,yes,free,yes,no
2,adella,410 w 43rd st,new york,ny,10036,(212) 273-0737,adellanyc.com,$$,tapas bars;american (new);wine bars,4.0,hell's kitchen; midtown west,yes,no,no,yes,dessert,street,casual,trendy,beer & wine only,yes,no,yes,no
3,rex,864 10th ave,new york,ny,10019,(929) 900-5784,rexcoffeenyc.com,$,coffee & tea;sandwiches,4.5,hell's kitchen; midtown west,no,no,yes,yes,breakfast,street,casual,hipster,no,no,free,no,yes
4,bistro petit,170 s 3rd st,new york,ny,11211,(718) 782-2582,bistropetit.com,$$,french,4.0,williamsburg - south side,yes,yes,yes,yes,dinner,street,casual,casual,no,yes,no,yes,yes
5,jora restaurant & bar,47-46 11th st,new york,ny,11101,(718) 392-2033,jorany.com,$$,peruvian,4.5,hunters point; long island city,yes,no,yes,yes,dinner,street; private lot,casual,casual,full bar,no,no,yes,no
6,il falco,21-50 44 dr,new york,ny,11101,(718) 707-0009,ilfalcolic.com,$$$,italian,4.5,long island city,yes,yes,yes,yes,dinner,valet; street,casual,intimate,full bar,yes,free,yes,yes
7,wolfnights,99 rivington st,new york,ny,10002,(646) 669-8070,wolfnightsusa.com,$,sandwiches,4.0,lower east side,no,yes,yes,yes,late night,street,casual,hipster,beer & wine only,yes,free,no,yes
8,bogota latin bistro,141 5th ave,new york,ny,11217,(718) 230-3805,bogotabistro.com,$$,latin american;gluten-free,4.0,park slope,yes,yes,yes,yes,dinner,street,casual,casual,full bar,no,free,yes,yes
9,the kati roll company,49 w 39th st,new york,ny,10018,(212) 730-4280,thekatirollcompany.com,$,indian,4.0,midtown west,no,yes,yes,yes,lunch,street,casual,casual,beer & wine only,no,no,no,yes
10,prospect,773 fulton st,new york,ny,11217,(718) 596-6826,prospectbk.com,$$$,american (new),4.0,fort greene,yes,yes,yes,yes,dinner,street,casual,trendy,full bar,yes,no,yes,yes
11,caracas arepa bar,93 1/2 e 7th st,new york,ny,10009,(212) 529-2314,caracasarepabar.com,$$,venezuelan,4.0,east village,no,no,yes,yes,lunch; dinner,street,casual,casual,beer & wine only,no,no,yes,yes
12,sweet chick,164 bedford avenue,new york,ny,11211,(347) 725-4793,sweetchicknyc.com,$$,southern,4.0,williamsburg - north side,no,no,yes,yes,brunch,street,casual,hipster,full bar,no,no,yes,no
13,emporio,231 mott st,new york,ny,10012,(212) 966-1234,emporiony.com,$$,italian;pizza,4.0,nolita,yes,yes,yes,yes,dinner,street,casual,romantic,full bar,no,no,yes,yes
14,riko peruvian cuisine,409 8th ave,new york,ny,10001,(212) 643-7555,,$$,peruvian,4.0,chelsea; midtown west,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,yes,yes
15,cowgirl sea horse,259 front st,new york,ny,10038,(212) 608-7873,ordercowgirlseahorse.com,$$,tex-mex;seafood,3.5,financial district,yes,yes,yes,yes,brunch; dinner,street,casual,casual,full bar,no,free,yes,yes
16,white oak tavern,21 waverly pl,new york,ny,10003,(212) 260-2604,whiteoakny.com,$$,bars;comfort food;american (traditional),4.0,greenwich village,yes,no,yes,yes,brunch; late night,street,casual,hipster,full bar,no,free,yes,no
17,la esquina corner deli,114 kenmare st,new york,ny,10012,(646) 613-7100,esquinanyc.com,$$,latin american;mexican,4.0,soho,yes,yes,yes,yes,dinner,street,casual,trendy,full bar,yes,no,yes,no
18,vin et fleurs,69 thompson st,new york,ny,10012,(212) 431-3335,vinetfleurs.com,$$,french,4.0,south village,no,yes,yes,yes,brunch,garage; street,casual,intimate,full bar,no,no,yes,no
19,yuji ramen,150 ainslie st,new york,ny,11211,(718) 302-0598,yujiramen.com,$$,ramen,5.0,williamsburg - north side,no,no,no,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
20,the green table,chelsea market 75 9th ave,new york,ny,10011,(212) 741-6623,cleaverco.com/green-table,$$,vegetarian;american (new);breakfast & brunch,4.0,meatpacking district; chelsea,yes,no,no,yes,lunch; dinner,garage; street,casual,casual,full bar,no,no,yes,yes
21,gotan,130 franklin st,new york,ny,10013,(212) 431-5200,gotannyc.com,$$,cafes,4.5,tribeca,no,no,yes,yes,brunch,,casual,trendy,no,yes,free,yes,yes
22,the eddy,342 e 6th st,new york,ny,10003,(646) 895-9884,theeddynyc.com,$$$,american (new),4.5,east village,yes,no,no,yes,dinner,street,casual,casual,full bar,no,no,yes,no
23,nai tapas bar,174 1st ave,new york,ny,10009,(212) 677-1030,naitapas.nyc,$$,tapas/small plates,4.0,east village,yes,no,yes,yes,dinner,garage; street,casual,casual,beer & wine only,yes,no,yes,no
24,el kucho mexican restaurant,141 wilson ave,new york,ny,11237,(917) 966-5124,,$,mexican,4.5,bushwick,yes,yes,yes,yes,lunch,street,casual,,no,yes,free,yes,yes
25,cocoron,61 delancey st,new york,ny,10002,(212) 925-5220,cocoron-soba.com,$$,japanese,4.0,lower east side,no,no,no,no,dinner,street,casual,casual,beer & wine only,no,no,yes,no
26,vic’s,31 great jones st,new york,ny,10012,(212) 253-5700,vicsnewyork.com,$$,bars;mediterranean;american (new),4.0,noho,yes,no,yes,yes,brunch,garage; street,casual,casual,full bar,yes,free,yes,no
27,employees only,510 hudson st,new york,ny,10014,(212) 242-3021,employeesonlynyc.com,$$$,american (new);lounges,4.0,west village,yes,no,no,yes,late night,street,casual,trendy,full bar,no,no,yes,no
28,sergimmo salumeria,456 9th ave,new york,ny,10018,(212) 967-4212,sergimmo.com,$$,italian;sandwiches,4.0,hell's kitchen; midtown west,no,yes,yes,yes,lunch,street,casual,casual,no,no,no,no,yes
29,yakiniku west,218 e 9th st,new york,ny,10003,(212) 979-9238,yakinikuwest.com,$$,japanese;barbeque,4.0,east village,yes,no,no,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
30,puff cha ramen,457 w 50th st,new york,ny,10019,(646) 682-7768,,$,thai;ramen,4.5,hell's kitchen; midtown west,yes,yes,yes,yes,dessert,valet; garage; street,casual,divey,no,no,no,yes,yes
31,upstate,95 1st ave,new york,ny,10003,(917) 408-3395,upstatenyc.com,$$,american (new);seafood,4.5,east village,no,no,no,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
32,joya,215 court st,new york,ny,11201,(718) 222-3484,,$$,thai,4.0,cobble hill,no,yes,yes,no,dinner,street,casual,trendy,full bar,yes,no,yes,no
33,cafecito,185 avenue c,new york,ny,10009,(212) 253-9966,cafecitonyc.com,$$,cuban,4.0,east village; alphabet city,yes,yes,yes,no,dinner,street,casual,casual,full bar,yes,no,yes,yes
34,the spotted pig,314 w 11th st,new york,ny,10014,(212) 620-0393,thespottedpig.com,$$$,burgers;gastropubs,3.5,west village,no,no,no,yes,dinner,street,casual,casual,full bar,no,no,yes,no
35,govinda’s vegetarian,305 schermerhorn st,new york,ny,11217,(718) 855-6714,radhagovinda.net/govinda.html,$,vegetarian;vegan;gluten-free,4.5,downtown brooklyn; boerum hill,no,no,yes,no,lunch,street,casual,casual,no,no,no,no,yes
36,carroll place,157 bleecker st,new york,ny,10012,(212) 260-1700,carrollplacenyc.com,$$,gastropubs;italian;wine bars,4.0,greenwich village,yes,yes,yes,yes,brunch; late night,street,casual,casual,full bar,no,no,yes,no
37,streets,53 broadway,new york,ny,11249,(718) 384-2899,streetsbk.com,$$,american (new);latin american;asian fusion,4.0,south williamsburg,yes,no,yes,yes,dessert,street,casual,casual,full bar,yes,free,yes,yes
38,the smith,956 2nd ave,new york,ny,10022,(212) 644-2700,thesmithrestaurant.com,$$,american (traditional);breakfast & brunch;brasseries,4.0,midtown east,yes,yes,yes,yes,brunch,street,casual,trendy,full bar,no,free,yes,yes
39,the chinese couple vendor aka the dollar cart!,canal st & elizabeth st,new york,ny,10013,,,$,food stands;chinese,4.5,chinatown,no,no,yes,no,lunch,,casual,,no,no,no,no,no
40,pure thai cookhouse,766 9th ave,new york,ny,10019,(212) 581-0999,purethaishophouse.com,$$,thai,4.0,theater district; hell's kitchen; midtown west,no,yes,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,no
41,ovest pizzoteca,513 w 27th st,new york,ny,10001,(212) 967-4392,ovestnyc.com,$$,pizza,4.0,chelsea,yes,yes,yes,yes,dinner,street,casual,trendy,full bar,no,no,yes,no
42,sharkey’s cafe,48 mulberry st,new york,ny,10013,(212) 804-8183,sharkeyscafe.com,$,coffee & tea;sandwiches;breakfast & brunch,4.5,chinatown; civic center,no,yes,yes,yes,breakfast,garage,casual,casual,no,no,no,no,yes
43,la goulette,159 grand st,new york,ny,11249,(347) 689-4126,lagoulettewilliamsburg.com,$,mediterranean;middle eastern;halal,4.5,williamsburg - north side,no,yes,yes,yes,lunch,street,casual,casual,no,no,free,no,yes
44,la lanterna di vittorio,129 macdougal st,new york,ny,10012,(212) 529-5945,lalanternacaffe.com,$$,italian,4.0,greenwich village,yes,no,yes,yes,dinner,street,casual,romantic,full bar,yes,no,yes,no
45,barn joo,893 broadway,new york,ny,10003,(646) 398-9663,barnjoo.com,$$,korean;gastropubs,4.0,flatiron,yes,yes,yes,yes,dinner,street,casual,trendy,full bar,no,free,yes,yes
46,el rinconcito,408 e 10th st,new york,ny,10009,(212) 254-1381,,$,latin american;puerto rican,4.5,east village; alphabet city,no,yes,yes,yes,dinner,street,casual,casual,,no,no,yes,yes
47,fort defiance,365 van brunt st,new york,ny,11231,(917) 310-0629,fortdefiancebrooklyn.com,$$,american (new);breakfast & brunch,4.0,red hook,no,no,yes,yes,brunch,street,casual,casual,full bar,no,no,yes,no
48,umami burger,432 6th ave,new york,ny,10011,(212) 677-8626,umamiburger.com,$$,burgers;american (new);gastropubs,4.0,greenwich village,no,no,no,yes,lunch; dinner,street,casual,casual,full bar,no,free,yes,no
49,the bounty,131 greenpoint ave,new york,ny,11222,(347) 689-3325,thebountybrooklyn.com,$$,bars;american (new),4.0,greenpoint,yes,no,yes,yes,dinner,street,casual,hipster,full bar,yes,no,yes,no
50,pio pio,210 e 34th st,new york,ny,10016,(212) 481-0034,piopio.com,$$,latin american;peruvian,4.0,midtown east; murray hill; kips bay,no,yes,yes,yes,dinner,street,casual,casual,beer & wine only,no,no,yes,yes
51,flat top,1241 amsterdam ave,new york,ny,10027,(646) 820-7735,flattopnyc.com,$$,american (new);cafes,4.0,morningside heights,yes,no,yes,yes,brunch,street,casual,casual,beer & wine only,no,free,yes,no
52,tibetan dumpling cafe,49-08 queens blvd,new york,ny,11377,(347) 507-1555,,$,himalayan/nepalese,4.5,woodside,yes,yes,yes,yes,lunch,street,casual,casual,no,no,free,yes,yes
53,don chingon,216 flatbush ave,new york,ny,11217,(718) 576-3521,donchingon.nyc,$$,mexican;cocktail bars;tex-mex,4.5,prospect heights,no,yes,yes,yes,dinner,street,casual,casual,full bar,no,no,yes,yes
54,pippali,129 e 27th st,new york,ny,10016,(212) 689-1999,pippalinyc.com,$$,indian,4.0,flatiron,yes,yes,yes,yes,dinner,street,casual,casual,full bar,no,no,yes,yes
55,olea,171 lafayette ave,new york,ny,11238,(718) 643-7003,oleabrooklyn.com,$$,mediterranean,4.0,fort greene,no,no,yes,yes,brunch; dinner,street,casual,casual,full bar,yes,free,yes,no
56,momofuku ko,8 extra pl,new york,ny,10003,(212) 203-8095,momofuku.com,$$$$,american (new),4.5,east village,yes,no,no,yes,dinner,street,casual,trendy,full bar,no,no,yes,no
57,tuk tuk,4906 vernon blvd,new york,ny,11101,(718) 472-5597,tuktukny.com,$$,thai,4.0,hunters point; long island city,yes,yes,yes,yes,lunch; dinner,street,casual,casual,beer & wine only,no,no,yes,no
58,hanco’s,134 smith st,new york,ny,11201,(718) 858-6818,hancosny.com,$,vietnamese;sandwiches;bubble tea,4.0,boerum hill; cobble hill,no,yes,yes,no,lunch,street,casual,casual,no,yes,,no,no
59,manhattan proper,6 murray street (between church and broadway),new york,ny,10007,(646) 559-4445,manhattanproper.com,$$,sports bars;american (new);lounges,4.0,civic center,yes,yes,yes,yes,dinner; late night,street,casual,trendy,full bar,no,free,yes,yes
60,awol eatery,336 graham ave,new york,ny,11211,(347) 457-6752,awoleatery.com,$$,american (new);gluten-free;vegetarian,4.5,east williamsburg,no,yes,yes,yes,dinner,street,casual,hipster,beer & wine only,yes,free,yes,yes
61,animals food and drink,140 ave c,new york,ny,10009,(212) 777-7437,animalsnyc.com,$$,sandwiches;bars,5.0,east village; alphabet city,no,,yes,yes,,,casual,,,no,,,
62,alice’s arbor,549 classon ave,new york,ny,11238,(718) 399-3003,alicesarbor.com,$$,american (traditional);breakfast & brunch,4.0,bedford stuyvesant; clinton hill,yes,yes,yes,yes,brunch,street,casual,casual,full bar,yes,free,yes,yes
63,giuseppina’s,691 6th ave,new york,ny,11215,(646) 741-4606,,$$,pizza;caterers,4.5,south slope,yes,no,yes,no,dinner,street,casual,casual,beer & wine only,no,no,yes,no
64,harry & ida’s meat and supply co,189 ave a,new york,ny,10009,(646) 864-0967,meatandsupplyco.com,$$,sandwiches;meat shops,5.0,east village; alphabet city,no,yes,yes,yes,,,casual,hipster,no,no,,no,
