id,name,votes,rating,phone,address,zip,cuisine,reviewcount
0,strings ramen shop,15,3.1,(312) 374-3450,2141 s. archer avenue,60616,"asian,chinese,ramen",2
1,francesco's hole in the wall,179,4.0,(847) 272-0155,254 skokie boulevard,60062,italian,6
3,four belly,12,3.0,(773) 661-6182,3227 n. clark street,60657,"asian,bbq,japanese",0
4,max's take out,60,4.6,(312) 553-0170,20 e. adams street,60603,"american,burger",12
5,blufish sushi bistro,150,4.0,(847) 272-7990,plaza del prado,60026,"sushi,japanese",10
6,rockwell's neighborhood grill,152,3.9,(773) 509-1871,4632 n. rockwell street,60625,"american,burger,tex-mex",6
7,father & son,145,4.1,(773) 252-2620,2475 n. milwaukee avenue,60647,italian,7
8,volare ristorate,95,4.1,(630) 495-0200,1919 s. meyers road,60181,italian,6
10,molly's cupcakes,459,4.3,(773) 883-7220,2536 n. clark street,60614,"desserts,bakery",31
11,chicago's pizza,44,3.4,(773) 477-2777,3114 n. lincoln avenue,60657,"pizza,italian,american",3
12,j.b. alberto's pizza,167,4.1,(773) 973-1700,1326 w. morse avenue,60626,"pizza,american",6
13,conte di savoia,101,3.7,(773) 666-3471,1438 w. taylor street,60607,"desserts,italian,sandwich",4
14,the happ inn bar & grill,141,3.5,(847) 784-9200,the shops of northfield village square,60093,american,5
15,timothy o'toole's,147,3.6,(847) 249-0800,5572 grand avenue,60031,"american,bar food",10
16,beelow's steakhouse,92,3.7,(847) 540-0600,763 s. rand road,60047,"american,seafood,steakhouse",8
17,bill's pizza & pub,167,3.7,(847) 566-5380,624 s. lake street,60060,"pizza,american",10
18,jimmy's charhouse,121,3.4,(847) 923-5000,1180 w devon avenue,60007,"american,steakhouse",20
19,doc b's fresh kitchen,29,3.4,(312) 626-1300,walton colonnade,60611,american,4
20,lovely thai restaurant,66,3.7,(847) 231-6442,1144 e. washington street,60030,thai,1
21,sixteen,99,3.7,(312) 588-8001,trump hotel,60611,new american,14
22,ted's montana grill,59,3.4,(630) 783-2493,623 e. boughton road suite 110,60440,"american,burger,steakhouse",3
23,ditka's,84,3.7,(630) 572-2200,2 mid america plaza,60181,"american,steakhouse",10
24,andie's,49,3.3,(773) 348-0654,1467 w. montrose avenue,60613,"mediterranean,middle eastern",4
25,bistronomic,82,3.9,(312) 944-8400,840 n. wabash avenue,60611,french,6
26,ja' grill,100,3.6,(773) 752-5375,harper court shops,60615,caribbean,7
27,orange,76,3.7,(773) 248-0999,2011 w. roscoe street,60618,american,3
28,chicago's busy burger,57,4.0,(312) 226-7760,1120 w. taylor street,60607,burger,4
29,joe fish,17,2.2,(312) 832-7700,445 n. dearborn street,60654,"seafood,american,italian",1
